Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
Maqbool_et_al-2015-Concurrency_and_Computation__Practice_and_Experience.pdf;1615066;"Dipl.-Inform. Hinrich Tobaben";"2016-04-29 17:54:42";"Paper: Evaluating ARM HPC clusters for scientific workloads";;/Maqbool_et_al-2015-Concurrency_and_Computation__Practice_and_Experience.pdf
rajovicSC13.pdf;514094;"Dipl.-Inform. Hinrich Tobaben";"2016-04-29 17:58:01";"Paper: Supercomputing with Commodity CPUs: Are Mobile SoCs Ready for HPC?";;/rajovicSC13.pdf
multiprog-18.pdf;196595;"Dipl.-Inform. Hinrich Tobaben";"2016-04-29 17:56:57";"Position Paper: OpenMP scheduling on ARM big.LITTLE architecture";;/multiprog-18.pdf
SeminarAVS-SoSe2016-01.pdf;1101006;"Dipl.-Inform. Hinrich Tobaben";"2016-04-29 17:50:51";"Präsentation 07.04.2016";;/SeminarAVS-SoSe2016-01.pdf
SeminarAVS-SoSe2016-02.pdf;255396;"Dipl.-Inform. Hinrich Tobaben";"2016-04-29 17:51:21";"Präsentation 14.04.2016 Update";;/SeminarAVS-SoSe2016-02.pdf
SeminarAVS-SoSe2016-03.pdf;753559;"Dipl.-Inform. Hinrich Tobaben";"2016-05-25 12:41:11";"Präsentation 26.05.2016";;/SeminarAVS-SoSe2016-03.pdf
EMiT2015_Mantovani.pdf;1177074;"Dipl.-Inform. Hinrich Tobaben";"2016-04-29 17:53:35";"Slides: High Performance Computing Based on Mobile Embedded Technology";;/EMiT2015_Mantovani.pdf
ms-defense-ppt.pptx;1049828;"Dipl.-Inform. Hinrich Tobaben";"2016-04-29 17:56:10";"Slides: Use of ARM Multicore Cluster for High Performance Scientific Computing";;/ms-defense-ppt.pptx
