t;f ;; t;y ;; t;g ;; t;z ;; t;fx;fy ;; t;cx;cy ;; t;Cx;Cy
5.460 ; 0.500 ;; 5.460 ; Infinity ;; 5.460 ; 0.500 ;; 5.460 ; NaN ;; 5.460 ; 0.368 ; 0.004 ;; 5.460 ; 0.706 ; -0.747 ;; 5.460 ; 0.687 ; -0.726
5.470 ; 0.500 ;; 5.470 ; Infinity ;; 5.470 ; 0.500 ;; 5.470 ; NaN ;; 5.470 ; 0.368 ; 0.004 ;; 5.470 ; 0.714 ; -0.740 ;; 5.470 ; 0.694 ; -0.720
5.480 ; 0.500 ;; 5.480 ; Infinity ;; 5.480 ; 0.500 ;; 5.480 ; NaN ;; 5.480 ; 0.368 ; 0.004 ;; 5.480 ; 0.721 ; -0.733 ;; 5.480 ; 0.702 ; -0.713
5.490 ; 0.500 ;; 5.490 ; Infinity ;; 5.490 ; 0.500 ;; 5.490 ; NaN ;; 5.490 ; 0.368 ; 0.004 ;; 5.490 ; 0.728 ; -0.725 ;; 5.490 ; 0.709 ; -0.705
5.500 ; 0.500 ;; 5.500 ; Infinity ;; 5.500 ; 0.500 ;; 5.500 ; NaN ;; 5.500 ; 0.368 ; 0.004 ;; 5.500 ; 0.736 ; -0.718 ;; 5.500 ; 0.716 ; -0.698
5.510 ; 0.500 ;; 5.510 ; Infinity ;; 5.510 ; 0.500 ;; 5.510 ; NaN ;; 5.510 ; 0.368 ; 0.004 ;; 5.510 ; 0.743 ; -0.711 ;; 5.510 ; 0.723 ; -0.691
5.520 ; 0.500 ;; 5.520 ; Infinity ;; 5.520 ; 0.500 ;; 5.520 ; NaN ;; 5.520 ; 0.368 ; 0.004 ;; 5.520 ; 0.750 ; -0.703 ;; 5.520 ; 0.730 ; -0.684
5.530 ; 0.500 ;; 5.530 ; Infinity ;; 5.530 ; 0.500 ;; 5.530 ; NaN ;; 5.530 ; 0.368 ; 0.004 ;; 5.530 ; 0.757 ; -0.696 ;; 5.530 ; 0.736 ; -0.677
5.540 ; 0.500 ;; 5.540 ; Infinity ;; 5.540 ; 0.500 ;; 5.540 ; NaN ;; 5.540 ; 0.368 ; 0.004 ;; 5.540 ; 0.764 ; -0.688 ;; 5.540 ; 0.743 ; -0.669
5.550 ; 0.500 ;; 5.550 ; Infinity ;; 5.550 ; 0.500 ;; 5.550 ; NaN ;; 5.550 ; 0.368 ; 0.004 ;; 5.550 ; 0.771 ; -0.681 ;; 5.550 ; 0.750 ; -0.662
5.560 ; 0.500 ;; 5.560 ; Infinity ;; 5.560 ; 0.500 ;; 5.560 ; NaN ;; 5.560 ; 0.368 ; 0.004 ;; 5.560 ; 0.778 ; -0.673 ;; 5.560 ; 0.756 ; -0.654
5.570 ; 0.500 ;; 5.570 ; Infinity ;; 5.570 ; 0.500 ;; 5.570 ; NaN ;; 5.570 ; 0.368 ; 0.004 ;; 5.570 ; 0.784 ; -0.665 ;; 5.570 ; 0.763 ; -0.647
5.580 ; 0.500 ;; 5.580 ; Infinity ;; 5.580 ; 0.500 ;; 5.580 ; NaN ;; 5.580 ; 0.368 ; 0.004 ;; 5.580 ; 0.791 ; -0.657 ;; 5.580 ; 0.769 ; -0.639
5.590 ; 0.500 ;; 5.590 ; Infinity ;; 5.590 ; 0.500 ;; 5.590 ; NaN ;; 5.590 ; 0.368 ; 0.004 ;; 5.590 ; 0.797 ; -0.649 ;; 5.590 ; 0.776 ; -0.631
5.600 ; 0.500 ;; 5.600 ; Infinity ;; 5.600 ; 0.500 ;; 5.600 ; NaN ;; 5.600 ; 0.368 ; 0.004 ;; 5.600 ; 0.804 ; -0.641 ;; 5.600 ; 0.782 ; -0.623
5.610 ; 0.500 ;; 5.610 ; Infinity ;; 5.610 ; 0.500 ;; 5.610 ; NaN ;; 5.610 ; 0.368 ; 0.004 ;; 5.610 ; 0.810 ; -0.633 ;; 5.610 ; 0.788 ; -0.616
5.620 ; 0.500 ;; 5.620 ; Infinity ;; 5.620 ; 0.500 ;; 5.620 ; NaN ;; 5.620 ; 0.368 ; 0.003 ;; 5.620 ; 0.817 ; -0.625 ;; 5.620 ; 0.794 ; -0.608
5.630 ; 0.500 ;; 5.630 ; Infinity ;; 5.630 ; 0.500 ;; 5.630 ; NaN ;; 5.630 ; 0.368 ; 0.003 ;; 5.630 ; 0.823 ; -0.617 ;; 5.630 ; 0.800 ; -0.600
5.640 ; 0.500 ;; 5.640 ; Infinity ;; 5.640 ; 0.500 ;; 5.640 ; NaN ;; 5.640 ; 0.368 ; 0.003 ;; 5.640 ; 0.829 ; -0.609 ;; 5.640 ; 0.806 ; -0.592
5.650 ; 0.500 ;; 5.650 ; Infinity ;; 5.650 ; 0.500 ;; 5.650 ; NaN ;; 5.650 ; 0.368 ; 0.003 ;; 5.650 ; 0.835 ; -0.601 ;; 5.650 ; 0.812 ; -0.584
5.660 ; 0.500 ;; 5.660 ; Infinity ;; 5.660 ; 0.500 ;; 5.660 ; NaN ;; 5.660 ; 0.368 ; 0.003 ;; 5.660 ; 0.841 ; -0.592 ;; 5.660 ; 0.818 ; -0.575
5.670 ; 0.500 ;; 5.670 ; Infinity ;; 5.670 ; 0.500 ;; 5.670 ; NaN ;; 5.670 ; 0.368 ; 0.003 ;; 5.670 ; 0.847 ; -0.584 ;; 5.670 ; 0.824 ; -0.567
5.680 ; 0.500 ;; 5.680 ; Infinity ;; 5.680 ; 0.500 ;; 5.680 ; NaN ;; 5.680 ; 0.368 ; 0.003 ;; 5.680 ; 0.853 ; -0.575 ;; 5.680 ; 0.829 ; -0.559
5.690 ; 0.500 ;; 5.690 ; Infinity ;; 5.690 ; 0.500 ;; 5.690 ; NaN ;; 5.690 ; 0.368 ; 0.003 ;; 5.690 ; 0.859 ; -0.567 ;; 5.690 ; 0.835 ; -0.551
5.700 ; 0.500 ;; 5.700 ; Infinity ;; 5.700 ; 0.500 ;; 5.700 ; NaN ;; 5.700 ; 0.368 ; 0.003 ;; 5.700 ; 0.864 ; -0.558 ;; 5.700 ; 0.840 ; -0.542
5.710 ; 0.500 ;; 5.710 ; Infinity ;; 5.710 ; 0.500 ;; 5.710 ; NaN ;; 5.710 ; 0.368 ; 0.003 ;; 5.710 ; 0.870 ; -0.550 ;; 5.710 ; 0.846 ; -0.534
5.720 ; 0.500 ;; 5.720 ; Infinity ;; 5.720 ; 0.500 ;; 5.720 ; NaN ;; 5.720 ; 0.368 ; 0.003 ;; 5.720 ; 0.875 ; -0.541 ;; 5.720 ; 0.851 ; -0.525
5.730 ; 0.500 ;; 5.730 ; Infinity ;; 5.730 ; 0.500 ;; 5.730 ; NaN ;; 5.730 ; 0.368 ; 0.003 ;; 5.730 ; 0.881 ; -0.532 ;; 5.730 ; 0.856 ; -0.517
5.740 ; 0.500 ;; 5.740 ; Infinity ;; 5.740 ; 0.500 ;; 5.740 ; NaN ;; 5.740 ; 0.368 ; 0.003 ;; 5.740 ; 0.886 ; -0.523 ;; 5.740 ; 0.861 ; -0.508
5.750 ; 0.500 ;; 5.750 ; Infinity ;; 5.750 ; 0.500 ;; 5.750 ; NaN ;; 5.750 ; 0.368 ; 0.003 ;; 5.750 ; 0.891 ; -0.514 ;; 5.750 ; 0.866 ; -0.500
5.760 ; 0.500 ;; 5.760 ; Infinity ;; 5.760 ; 0.500 ;; 5.760 ; NaN ;; 5.760 ; 0.368 ; 0.003 ;; 5.760 ; 0.897 ; -0.505 ;; 5.760 ; 0.871 ; -0.491
5.770 ; 0.500 ;; 5.770 ; Infinity ;; 5.770 ; 0.500 ;; 5.770 ; NaN ;; 5.770 ; 0.368 ; 0.003 ;; 5.770 ; 0.902 ; -0.497 ;; 5.770 ; 0.876 ; -0.482
5.780 ; 0.500 ;; 5.780 ; Infinity ;; 5.780 ; 0.500 ;; 5.780 ; NaN ;; 5.780 ; 0.368 ; 0.003 ;; 5.780 ; 0.907 ; -0.488 ;; 5.780 ; 0.881 ; -0.473
5.790 ; 0.500 ;; 5.790 ; Infinity ;; 5.790 ; 0.500 ;; 5.790 ; NaN ;; 5.790 ; 0.368 ; 0.003 ;; 5.790 ; 0.911 ; -0.478 ;; 5.790 ; 0.886 ; -0.465
5.800 ; 0.500 ;; 5.800 ; Infinity ;; 5.800 ; 0.500 ;; 5.800 ; NaN ;; 5.800 ; 0.368 ; 0.003 ;; 5.800 ; 0.916 ; -0.469 ;; 5.800 ; 0.890 ; -0.456
5.810 ; 0.500 ;; 5.810 ; Infinity ;; 5.810 ; 0.500 ;; 5.810 ; NaN ;; 5.810 ; 0.368 ; 0.003 ;; 5.810 ; 0.921 ; -0.460 ;; 5.810 ; 0.895 ; -0.447
5.820 ; 0.500 ;; 5.820 ; Infinity ;; 5.820 ; 0.500 ;; 5.820 ; NaN ;; 5.820 ; 0.368 ; 0.003 ;; 5.820 ; 0.926 ; -0.451 ;; 5.820 ; 0.899 ; -0.438
5.830 ; 0.500 ;; 5.830 ; Infinity ;; 5.830 ; 0.500 ;; 5.830 ; NaN ;; 5.830 ; 0.368 ; 0.003 ;; 5.830 ; 0.930 ; -0.442 ;; 5.830 ; 0.903 ; -0.429
5.840 ; 0.500 ;; 5.840 ; Infinity ;; 5.840 ; 0.500 ;; 5.840 ; NaN ;; 5.840 ; 0.368 ; 0.003 ;; 5.840 ; 0.934 ; -0.432 ;; 5.840 ; 0.908 ; -0.420
5.850 ; 0.500 ;; 5.850 ; Infinity ;; 5.850 ; 0.500 ;; 5.850 ; NaN ;; 5.850 ; 0.368 ; 0.003 ;; 5.850 ; 0.939 ; -0.423 ;; 5.850 ; 0.912 ; -0.411
5.860 ; 0.500 ;; 5.860 ; Infinity ;; 5.860 ; 0.500 ;; 5.860 ; NaN ;; 5.860 ; 0.368 ; 0.003 ;; 5.860 ; 0.943 ; -0.414 ;; 5.860 ; 0.916 ; -0.401
5.870 ; 0.500 ;; 5.870 ; Infinity ;; 5.870 ; 0.500 ;; 5.870 ; NaN ;; 5.870 ; 0.368 ; 0.003 ;; 5.870 ; 0.947 ; -0.404 ;; 5.870 ; 0.920 ; -0.392
5.880 ; 0.500 ;; 5.880 ; Infinity ;; 5.880 ; 0.500 ;; 5.880 ; NaN ;; 5.880 ; 0.368 ; 0.003 ;; 5.880 ; 0.951 ; -0.395 ;; 5.880 ; 0.924 ; -0.383
5.890 ; 0.500 ;; 5.890 ; Infinity ;; 5.890 ; 0.500 ;; 5.890 ; NaN ;; 5.890 ; 0.368 ; 0.003 ;; 5.890 ; 0.955 ; -0.385 ;; 5.890 ; 0.928 ; -0.374
5.900 ; 0.500 ;; 5.900 ; Infinity ;; 5.900 ; 0.500 ;; 5.900 ; NaN ;; 5.900 ; 0.368 ; 0.003 ;; 5.900 ; 0.959 ; -0.376 ;; 5.900 ; 0.931 ; -0.364
5.910 ; 0.500 ;; 5.910 ; Infinity ;; 5.910 ; 0.500 ;; 5.910 ; NaN ;; 5.910 ; 0.368 ; 0.003 ;; 5.910 ; 0.963 ; -0.366 ;; 5.910 ; 0.935 ; -0.355
5.920 ; 0.500 ;; 5.920 ; Infinity ;; 5.920 ; 0.500 ;; 5.920 ; NaN ;; 5.920 ; 0.368 ; 0.003 ;; 5.920 ; 0.966 ; -0.356 ;; 5.920 ; 0.938 ; -0.346
5.930 ; 0.500 ;; 5.930 ; Infinity ;; 5.930 ; 0.500 ;; 5.930 ; NaN ;; 5.930 ; 0.368 ; 0.003 ;; 5.930 ; 0.970 ; -0.347 ;; 5.930 ; 0.942 ; -0.336
5.940 ; 0.500 ;; 5.940 ; Infinity ;; 5.940 ; 0.500 ;; 5.940 ; NaN ;; 5.940 ; 0.368 ; 0.003 ;; 5.940 ; 0.973 ; -0.337 ;; 5.940 ; 0.945 ; -0.327
5.950 ; 0.500 ;; 5.950 ; Infinity ;; 5.950 ; 0.500 ;; 5.950 ; NaN ;; 5.950 ; 0.368 ; 0.003 ;; 5.950 ; 0.977 ; -0.327 ;; 5.950 ; 0.948 ; -0.317
5.960 ; 0.500 ;; 5.960 ; Infinity ;; 5.960 ; 0.500 ;; 5.960 ; NaN ;; 5.960 ; 0.368 ; 0.002 ;; 5.960 ; 0.980 ; -0.318 ;; 5.960 ; 0.951 ; -0.308
5.970 ; 0.500 ;; 5.970 ; Infinity ;; 5.970 ; 0.500 ;; 5.970 ; NaN ;; 5.970 ; 0.368 ; 0.002 ;; 5.970 ; 0.983 ; -0.308 ;; 5.970 ; 0.954 ; -0.298
5.980 ; 0.500 ;; 5.980 ; Infinity ;; 5.980 ; 0.500 ;; 5.980 ; NaN ;; 5.980 ; 0.368 ; 0.002 ;; 5.980 ; 0.986 ; -0.298 ;; 5.980 ; 0.957 ; -0.289
5.990 ; 0.500 ;; 5.990 ; Infinity ;; 5.990 ; 0.500 ;; 5.990 ; NaN ;; 5.990 ; 0.368 ; 0.002 ;; 5.990 ; 0.989 ; -0.288 ;; 5.990 ; 0.960 ; -0.279
6.000 ; 0.500 ;; 6.000 ; Infinity ;; 6.000 ; 0.500 ;; 6.000 ; NaN ;; 6.000 ; 0.368 ; 0.002 ;; 6.000 ; 0.992 ; -0.278 ;; 6.000 ; 0.963 ; -0.270
6.010 ; 0.500 ;; 6.010 ; Infinity ;; 6.010 ; 0.500 ;; 6.010 ; NaN ;; 6.010 ; 0.368 ; 0.002 ;; 6.010 ; 0.995 ; -0.268 ;; 6.010 ; 0.966 ; -0.260
6.020 ; 0.500 ;; 6.020 ; Infinity ;; 6.020 ; 0.500 ;; 6.020 ; NaN ;; 6.020 ; 0.368 ; 0.002 ;; 6.020 ; 0.998 ; -0.258 ;; 6.020 ; 0.968 ; -0.250
6.030 ; 0.500 ;; 6.030 ; Infinity ;; 6.030 ; 0.500 ;; 6.030 ; NaN ;; 6.030 ; 0.368 ; 0.002 ;; 6.030 ; 1.000 ; -0.248 ;; 6.030 ; 0.971 ; -0.241
6.040 ; 0.500 ;; 6.040 ; Infinity ;; 6.040 ; 0.500 ;; 6.040 ; NaN ;; 6.040 ; 0.368 ; 0.002 ;; 6.040 ; 1.003 ; -0.238 ;; 6.040 ; 0.973 ; -0.231
6.050 ; 0.500 ;; 6.050 ; Infinity ;; 6.050 ; 0.500 ;; 6.050 ; NaN ;; 6.050 ; 0.368 ; 0.002 ;; 6.050 ; 1.005 ; -0.228 ;; 6.050 ; 0.975 ; -0.221
6.060 ; 0.500 ;; 6.060 ; Infinity ;; 6.060 ; 0.500 ;; 6.060 ; NaN ;; 6.060 ; 0.368 ; 0.002 ;; 6.060 ; 1.007 ; -0.218 ;; 6.060 ; 0.977 ; -0.211
6.070 ; 0.500 ;; 6.070 ; Infinity ;; 6.070 ; 0.500 ;; 6.070 ; NaN ;; 6.070 ; 0.368 ; 0.002 ;; 6.070 ; 1.010 ; -0.208 ;; 6.070 ; 0.979 ; -0.202
6.080 ; 0.500 ;; 6.080 ; Infinity ;; 6.080 ; 0.500 ;; 6.080 ; NaN ;; 6.080 ; 0.368 ; 0.002 ;; 6.080 ; 1.012 ; -0.198 ;; 6.080 ; 0.981 ; -0.192
6.090 ; 0.500 ;; 6.090 ; Infinity ;; 6.090 ; 0.500 ;; 6.090 ; NaN ;; 6.090 ; 0.368 ; 0.002 ;; 6.090 ; 1.014 ; -0.188 ;; 6.090 ; 0.983 ; -0.182
6.100 ; 0.500 ;; 6.100 ; Infinity ;; 6.100 ; 0.500 ;; 6.100 ; NaN ;; 6.100 ; 0.368 ; 0.002 ;; 6.100 ; 1.016 ; -0.178 ;; 6.100 ; 0.985 ; -0.172
6.110 ; 0.500 ;; 6.110 ; Infinity ;; 6.110 ; 0.500 ;; 6.110 ; NaN ;; 6.110 ; 0.368 ; 0.002 ;; 6.110 ; 1.017 ; -0.168 ;; 6.110 ; 0.987 ; -0.162
6.120 ; 0.500 ;; 6.120 ; Infinity ;; 6.120 ; 0.500 ;; 6.120 ; NaN ;; 6.120 ; 0.368 ; 0.002 ;; 6.120 ; 1.019 ; -0.158 ;; 6.120 ; 0.988 ; -0.152
6.130 ; 0.500 ;; 6.130 ; Infinity ;; 6.130 ; 0.500 ;; 6.130 ; NaN ;; 6.130 ; 0.368 ; 0.002 ;; 6.130 ; 1.021 ; -0.147 ;; 6.130 ; 0.990 ; -0.143
6.140 ; 0.500 ;; 6.140 ; Infinity ;; 6.140 ; 0.500 ;; 6.140 ; NaN ;; 6.140 ; 0.368 ; 0.002 ;; 6.140 ; 1.022 ; -0.137 ;; 6.140 ; 0.991 ; -0.133
6.150 ; 0.500 ;; 6.150 ; Infinity ;; 6.150 ; 0.500 ;; 6.150 ; NaN ;; 6.150 ; 0.368 ; 0.002 ;; 6.150 ; 1.023 ; -0.127 ;; 6.150 ; 0.992 ; -0.123
6.160 ; 0.500 ;; 6.160 ; Infinity ;; 6.160 ; 0.500 ;; 6.160 ; NaN ;; 6.160 ; 0.368 ; 0.002 ;; 6.160 ; 1.025 ; -0.117 ;; 6.160 ; 0.994 ; -0.113
6.170 ; 0.500 ;; 6.170 ; Infinity ;; 6.170 ; 0.500 ;; 6.170 ; NaN ;; 6.170 ; 0.368 ; 0.002 ;; 6.170 ; 1.026 ; -0.106 ;; 6.170 ; 0.995 ; -0.103
6.180 ; 0.500 ;; 6.180 ; Infinity ;; 6.180 ; 0.500 ;; 6.180 ; NaN ;; 6.180 ; 0.368 ; 0.002 ;; 6.180 ; 1.027 ; -0.096 ;; 6.180 ; 0.996 ; -0.093
6.190 ; 0.500 ;; 6.190 ; Infinity ;; 6.190 ; 0.500 ;; 6.190 ; NaN ;; 6.190 ; 0.368 ; 0.002 ;; 6.190 ; 1.028 ; -0.086 ;; 6.190 ; 0.997 ; -0.083
6.200 ; 0.500 ;; 6.200 ; Infinity ;; 6.200 ; 0.500 ;; 6.200 ; NaN ;; 6.200 ; 0.368 ; 0.002 ;; 6.200 ; 1.029 ; -0.076 ;; 6.200 ; 0.997 ; -0.073
6.210 ; 0.500 ;; 6.210 ; Infinity ;; 6.210 ; 0.500 ;; 6.210 ; NaN ;; 6.210 ; 0.368 ; 0.002 ;; 6.210 ; 1.030 ; -0.065 ;; 6.210 ; 0.998 ; -0.063
6.220 ; 0.500 ;; 6.220 ; Infinity ;; 6.220 ; 0.500 ;; 6.220 ; NaN ;; 6.220 ; 0.368 ; 0.002 ;; 6.220 ; 1.030 ; -0.055 ;; 6.220 ; 0.999 ; -0.053
6.230 ; 0.500 ;; 6.230 ; Infinity ;; 6.230 ; 0.500 ;; 6.230 ; NaN ;; 6.230 ; 0.368 ; 0.002 ;; 6.230 ; 1.031 ; -0.045 ;; 6.230 ; 0.999 ; -0.043
6.240 ; 0.500 ;; 6.240 ; Infinity ;; 6.240 ; 0.500 ;; 6.240 ; NaN ;; 6.240 ; 0.368 ; 0.002 ;; 6.240 ; 1.031 ; -0.034 ;; 6.240 ; 0.999 ; -0.033
6.250 ; 0.500 ;; 6.250 ; Infinity ;; 6.250 ; 0.500 ;; 6.250 ; NaN ;; 6.250 ; 0.368 ; 0.002 ;; 6.250 ; 1.032 ; -0.024 ;; 6.250 ; 1.000 ; -0.023
6.260 ; 0.500 ;; 6.260 ; Infinity ;; 6.260 ; 0.500 ;; 6.260 ; NaN ;; 6.260 ; 0.368 ; 0.002 ;; 6.260 ; 1.032 ; -0.014 ;; 6.260 ; 1.000 ; -0.013
6.270 ; 0.500 ;; 6.270 ; Infinity ;; 6.270 ; 0.500 ;; 6.270 ; NaN ;; 6.270 ; 0.368 ; 0.002 ;; 6.270 ; 1.032 ; -0.004 ;; 6.270 ; 1.000 ; -0.003
6.280 ; 0.500 ;; 6.280 ; Infinity ;; 6.280 ; 0.500 ;; 6.280 ; NaN ;; 6.280 ; 0.368 ; 0.002 ;; 6.280 ; 1.032 ; 0.007 ;; 6.280 ; 1.000 ; 0.007
6.290 ; 0.500 ;; 6.290 ; Infinity ;; 6.290 ; 0.500 ;; 6.290 ; NaN ;; 6.290 ; 0.368 ; 0.002 ;; 6.290 ; 1.032 ; 0.017 ;; 6.290 ; 1.000 ; 0.017
6.300 ; 0.500 ;; 6.300 ; Infinity ;; 6.300 ; 0.500 ;; 6.300 ; NaN ;; 6.300 ; 0.368 ; 0.002 ;; 6.300 ; 1.032 ; 0.027 ;; 6.300 ; 1.000 ; 0.027
6.310 ; 0.500 ;; 6.310 ; Infinity ;; 6.310 ; 0.500 ;; 6.310 ; NaN ;; 6.310 ; 0.368 ; 0.002 ;; 6.310 ; 1.031 ; 0.038 ;; 6.310 ; 0.999 ; 0.037
6.320 ; 0.500 ;; 6.320 ; Infinity ;; 6.320 ; 0.500 ;; 6.320 ; NaN ;; 6.320 ; 0.368 ; 0.002 ;; 6.320 ; 1.031 ; 0.048 ;; 6.320 ; 0.999 ; 0.047
6.330 ; 0.500 ;; 6.330 ; Infinity ;; 6.330 ; 0.500 ;; 6.330 ; NaN ;; 6.330 ; 0.368 ; 0.002 ;; 6.330 ; 1.031 ; 0.058 ;; 6.330 ; 0.998 ; 0.057
6.340 ; 0.500 ;; 6.340 ; Infinity ;; 6.340 ; 0.500 ;; 6.340 ; NaN ;; 6.340 ; 0.368 ; 0.002 ;; 6.340 ; 1.030 ; 0.069 ;; 6.340 ; 0.998 ; 0.067
6.350 ; 0.500 ;; 6.350 ; Infinity ;; 6.350 ; 0.500 ;; 6.350 ; NaN ;; 6.350 ; 0.368 ; 0.002 ;; 6.350 ; 1.029 ; 0.079 ;; 6.350 ; 0.997 ; 0.077
6.360 ; 0.500 ;; 6.360 ; Infinity ;; 6.360 ; 0.500 ;; 6.360 ; NaN ;; 6.360 ; 0.368 ; 0.002 ;; 6.360 ; 1.028 ; 0.089 ;; 6.360 ; 0.996 ; 0.087
6.370 ; 0.500 ;; 6.370 ; Infinity ;; 6.370 ; 0.500 ;; 6.370 ; NaN ;; 6.370 ; 0.368 ; 0.002 ;; 6.370 ; 1.028 ; 0.100 ;; 6.370 ; 0.995 ; 0.097
6.380 ; 0.500 ;; 6.380 ; Infinity ;; 6.380 ; 0.500 ;; 6.380 ; NaN ;; 6.380 ; 0.368 ; 0.002 ;; 6.380 ; 1.027 ; 0.110 ;; 6.380 ; 0.994 ; 0.107
6.390 ; 0.500 ;; 6.390 ; Infinity ;; 6.390 ; 0.500 ;; 6.390 ; NaN ;; 6.390 ; 0.368 ; 0.002 ;; 6.390 ; 1.026 ; 0.120 ;; 6.390 ; 0.993 ; 0.117
6.400 ; 0.500 ;; 6.400 ; Infinity ;; 6.400 ; 0.500 ;; 6.400 ; NaN ;; 6.400 ; 0.368 ; 0.002 ;; 6.400 ; 1.024 ; 0.130 ;; 6.400 ; 0.992 ; 0.127
6.410 ; 0.500 ;; 6.410 ; Infinity ;; 6.410 ; 0.500 ;; 6.410 ; NaN ;; 6.410 ; 0.368 ; 0.002 ;; 6.410 ; 1.023 ; 0.141 ;; 6.410 ; 0.991 ; 0.136
6.420 ; 0.500 ;; 6.420 ; Infinity ;; 6.420 ; 0.500 ;; 6.420 ; NaN ;; 6.420 ; 0.368 ; 0.002 ;; 6.420 ; 1.022 ; 0.151 ;; 6.420 ; 0.989 ; 0.146
6.430 ; 0.500 ;; 6.430 ; Infinity ;; 6.430 ; 0.500 ;; 6.430 ; NaN ;; 6.430 ; 0.368 ; 0.002 ;; 6.430 ; 1.020 ; 0.161 ;; 6.430 ; 0.988 ; 0.156
6.440 ; 0.500 ;; 6.440 ; Infinity ;; 6.440 ; 0.500 ;; 6.440 ; NaN ;; 6.440 ; 0.368 ; 0.002 ;; 6.440 ; 1.018 ; 0.171 ;; 6.440 ; 0.986 ; 0.166
6.450 ; 0.500 ;; 6.450 ; Infinity ;; 6.450 ; 0.500 ;; 6.450 ; NaN ;; 6.450 ; 0.368 ; 0.002 ;; 6.450 ; 1.017 ; 0.181 ;; 6.450 ; 0.984 ; 0.176
6.460 ; 0.500 ;; 6.460 ; Infinity ;; 6.460 ; 0.500 ;; 6.460 ; NaN ;; 6.460 ; 0.368 ; 0.001 ;; 6.460 ; 1.015 ; 0.192 ;; 6.460 ; 0.983 ; 0.186
6.470 ; 0.500 ;; 6.470 ; Infinity ;; 6.470 ; 0.500 ;; 6.470 ; NaN ;; 6.470 ; 0.367 ; 0.001 ;; 6.470 ; 1.013 ; 0.202 ;; 6.470 ; 0.981 ; 0.196
6.480 ; 0.500 ;; 6.480 ; Infinity ;; 6.480 ; 0.500 ;; 6.480 ; NaN ;; 6.480 ; 0.367 ; 0.001 ;; 6.480 ; 1.011 ; 0.212 ;; 6.480 ; 0.979 ; 0.205
6.490 ; 0.500 ;; 6.490 ; Infinity ;; 6.490 ; 0.500 ;; 6.490 ; NaN ;; 6.490 ; 0.367 ; 0.001 ;; 6.490 ; 1.009 ; 0.222 ;; 6.490 ; 0.977 ; 0.215
6.500 ; 0.500 ;; 6.500 ; Infinity ;; 6.500 ; 0.500 ;; 6.500 ; NaN ;; 6.500 ; 0.367 ; 0.001 ;; 6.500 ; 1.007 ; 0.232 ;; 6.500 ; 0.974 ; 0.225
6.510 ; 0.500 ;; 6.510 ; Infinity ;; 6.510 ; 0.500 ;; 6.510 ; NaN ;; 6.510 ; 0.367 ; 0.001 ;; 6.510 ; 1.004 ; 0.242 ;; 6.510 ; 0.972 ; 0.235
6.520 ; 0.500 ;; 6.520 ; Infinity ;; 6.520 ; 0.500 ;; 6.520 ; NaN ;; 6.520 ; 0.367 ; 0.001 ;; 6.520 ; 1.002 ; 0.252 ;; 6.520 ; 0.970 ; 0.244
6.530 ; 0.500 ;; 6.530 ; Infinity ;; 6.530 ; 0.500 ;; 6.530 ; NaN ;; 6.530 ; 0.367 ; 0.001 ;; 6.530 ; 0.999 ; 0.262 ;; 6.530 ; 0.967 ; 0.254
6.540 ; 0.500 ;; 6.540 ; Infinity ;; 6.540 ; 0.500 ;; 6.540 ; NaN ;; 6.540 ; 0.367 ; 0.001 ;; 6.540 ; 0.997 ; 0.272 ;; 6.540 ; 0.965 ; 0.264
6.550 ; 0.500 ;; 6.550 ; Infinity ;; 6.550 ; 0.500 ;; 6.550 ; NaN ;; 6.550 ; 0.367 ; 0.001 ;; 6.550 ; 0.994 ; 0.282 ;; 6.550 ; 0.962 ; 0.273
6.560 ; 0.500 ;; 6.560 ; Infinity ;; 6.560 ; 0.500 ;; 6.560 ; NaN ;; 6.560 ; 0.367 ; 0.001 ;; 6.560 ; 0.991 ; 0.292 ;; 6.560 ; 0.959 ; 0.283
6.570 ; 0.500 ;; 6.570 ; Infinity ;; 6.570 ; 0.500 ;; 6.570 ; NaN ;; 6.570 ; 0.367 ; 0.001 ;; 6.570 ; 0.988 ; 0.302 ;; 6.570 ; 0.956 ; 0.293
6.580 ; 0.500 ;; 6.580 ; Infinity ;; 6.580 ; 0.500 ;; 6.580 ; NaN ;; 6.580 ; 0.367 ; 0.001 ;; 6.580 ; 0.985 ; 0.312 ;; 6.580 ; 0.953 ; 0.302
6.590 ; 0.500 ;; 6.590 ; Infinity ;; 6.590 ; 0.500 ;; 6.590 ; NaN ;; 6.590 ; 0.367 ; 0.001 ;; 6.590 ; 0.982 ; 0.322 ;; 6.590 ; 0.950 ; 0.312
6.600 ; 0.500 ;; 6.600 ; Infinity ;; 6.600 ; 0.500 ;; 6.600 ; NaN ;; 6.600 ; 0.367 ; 0.001 ;; 6.600 ; 0.979 ; 0.332 ;; 6.600 ; 0.947 ; 0.321
6.610 ; 0.500 ;; 6.610 ; Infinity ;; 6.610 ; 0.500 ;; 6.610 ; NaN ;; 6.610 ; 0.367 ; 0.001 ;; 6.610 ; 0.976 ; 0.341 ;; 6.610 ; 0.944 ; 0.331
6.620 ; 0.500 ;; 6.620 ; Infinity ;; 6.620 ; 0.500 ;; 6.620 ; NaN ;; 6.620 ; 0.367 ; 0.001 ;; 6.620 ; 0.972 ; 0.351 ;; 6.620 ; 0.940 ; 0.340
