t,x,y
0,1,1
0.01,0.9901960784313726,0
0.02,0.9805843906189927,0
0.03,0.9711611672735223,0
0.04,0.9619227130132572,0
0.05,0.952865404914958,0
0.060000000000000005,0.943985691093096,0
0.07,0.9352800893069569,0
0.08,0.9267451855950558,0
0.09,0.9183776329363292,0
0.09999999999999999,0.9101741499375777,0
0.10999999999999999,0.9021315195466448,0
0.11999999999999998,0.8942465877908282,0
0.12999999999999998,0.8865162625400277,0
0.13999999999999999,0.8789375122941447,0
0.15,0.8715073649942595,0
0.16,0.8642229068571171,0
0.17,0.8570812812324677,0
0.18000000000000002,0.8500796874828115,0
0.19000000000000003,0.8432153798851093,0
0.20000000000000004,0.8364856665540287,0
0.21000000000000005,0.8298879083863027,0
0.22000000000000006,0.823419518025787,0
0.23000000000000007,0.8170779588488107,0
0.24000000000000007,0.8108607439694223,0
0.25000000000000006,0.8047654352641396,0
0.26000000000000006,0.7987896424158231,0
0.2700000000000001,0.7929310219762972,0
0.2800000000000001,0.7871872764473502,0
0.2900000000000001,0.7815561533797551,0
0.3000000000000001,0.776035444489956,0
0.3100000000000001,0.7706229847940745,0
0.3200000000000001,0.7653166517588966,0
0.3300000000000001,0.7601143644695065,0
0.34000000000000014,0.7550140828132417,0
0.35000000000000014,0.7500138066796487,0
0.36000000000000015,0.7451115751761261,0
0.37000000000000016,0.7403054658589472,0
0.38000000000000017,0.73559359397936,0
0.3900000000000002,0.7309741117444706,0
0.4000000000000002,0.7264452075926182,0
0.4100000000000002,0.722005105482959,0
0.4200000000000002,0.7176520641989794,0
0.4300000000000002,0.7133843766656661,0
0.4400000000000002,0.7092003692800648,0
0.45000000000000023,0.7050984012549655,0
0.46000000000000024,0.7010768639754563,0
0.47000000000000025,0.6971341803680944,0
0.48000000000000026,0.6932688042824454,0
0.49000000000000027,0.6894792198847504,0
0.5000000000000002,0.6857639410634807,0
0.5100000000000002,0.6821215108465497,0
0.5200000000000002,0.6785505008299507,0
0.5300000000000002,0.6750495106175988,0
0.5400000000000003,0.6716171672721557,0
0.5500000000000003,0.6682521247766232,0
0.5600000000000003,0.6649530635064933,0
0.5700000000000003,0.6617186897122483,0
0.5800000000000003,0.6585477350120081,0
0.5900000000000003,0.6554389558941256,0
0.6000000000000003,0.6523911332295349,0
0.6100000000000003,0.6494030717936616,0
0.6200000000000003,0.6464735997977075,0
0.6300000000000003,0.643601568429125,0
0.6400000000000003,0.6407858514011029,0
0.6500000000000004,0.6380253445108852,0
0.6600000000000004,0.6353189652067502,0
0.6700000000000004,0.6326656521634806,0
0.6800000000000004,0.6300643648661575,0
0.6900000000000004,0.6275140832021152,0
0.7000000000000004,0.6250138070608973,0
0.7100000000000004,0.6225625559420561,0
0.7200000000000004,0.6201593685706432,0
0.7300000000000004,0.6178033025202385,0
0.7400000000000004,0.6154934338433711,0
0.7500000000000004,0.6132288567091874,0
0.7600000000000005,0.6110086830482229,0
0.7700000000000005,0.6088320422041401,0
0.7800000000000005,0.6066980805922942,0
0.7900000000000005,0.6046059613649943,0
0.8000000000000005,0.6025548640833278,0
0.8100000000000005,0.6005439843954195,0
0.8200000000000005,0.5985725337209995,0
0.8300000000000005,0.5966397389421564,0
0.8400000000000005,0.5947448421001533,0
0.8500000000000005,0.5928871000981896,0
0.8600000000000005,0.5910657844099898,0
0.8700000000000006,0.5892801807941076,0
0.8800000000000006,0.587529589013831,0
0.8900000000000006,0.5858133225625795,0
0.9000000000000006,0.5841307083946857,0
0.9100000000000006,0.5824810866614566,0
0.9200000000000006,0.5808638104524084,0
0.9300000000000006,0.5792782455415769,0
0.9400000000000006,0.5777237701388009,0
0.9500000000000006,0.5761997746458832,0
0.9600000000000006,0.5747056614175325,0
0.9700000000000006,0.5732408445269926,0
0.9800000000000006,0.5718047495362673,0
0.9900000000000007,0.5703968132708502,0
1.0000000000000007,0.5690164835988728,0
1.0100000000000007,0.5676632192145812,0
1.0200000000000007,0.56633648942606,0
1.0300000000000007,0.5650357739471176,0
1.0400000000000007,0.5637605626932525,0
1.0500000000000007,0.5625103555816201,0
1.0600000000000007,0.5612846623349217,0
1.0700000000000007,0.5600830022891389,0
1.0800000000000007,0.5589049042050381,0
1.0900000000000007,0.5577499060833707,0
1.1000000000000008,0.5566175549836968,0
1.1100000000000008,0.5555074068467616,0
1.1200000000000008,0.5544190263203544,0
1.1300000000000008,0.5533519865885828,0
1.1400000000000008,0.5523058692044929,0
1.1500000000000008,0.5512802639259734,0
1.1600000000000008,0.5502747685548759,0
1.1700000000000008,0.5492889887792901,0
1.1800000000000008,0.5483225380189118,0
1.1900000000000008,0.5473750372734429,0
1.2000000000000008,0.5464461149739637,0
1.2100000000000009,0.5455354068372192,0
1.2200000000000009,0.544642555722764,0
1.2300000000000009,0.5437672114929059,0
1.2400000000000009,0.5429090308753979,0
1.2500000000000009,0.5420676773288214,0
1.260000000000001,0.5412428209106093,0
1.270000000000001,0.5404341381476562,0
1.280000000000001,0.5396413119094668,0
1.290000000000001,0.538864031283791,0
1.300000000000001,0.5381019914546971,0
1.310000000000001,0.5373548935830363,0
1.320000000000001,0.5366224446892514,0
1.330000000000001,0.5359043575384818,0
1.340000000000001,0.5352003505279233,0
1.350000000000001,0.5345101475763954,0
1.360000000000001,0.5338334780160738,0
1.370000000000001,0.5331700764863468,0
