Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
spatemp-A_TutorialSchneider2012.pdf;4140404;"Prof. Dr. rer. nat. Udo Lipeck";"2016-02-01 16:52:41";spatemp-A_TutorialSchneider2012.pdf;;/spatemp-A_TutorialSchneider2012.pdf
spatemp-B_ausTutorialGunopulos2012.pdf;1240896;"Prof. Dr. rer. nat. Udo Lipeck";"2016-02-01 16:52:41";spatemp-B_ausTutorialGunopulos2012.pdf;;/spatemp-B_ausTutorialGunopulos2012.pdf
spatemp-C_ausVorlesungRenz2013.pdf;562921;"Prof. Dr. rer. nat. Udo Lipeck";"2016-02-01 16:52:41";spatemp-C_ausVorlesungRenz2013.pdf;;/spatemp-C_ausVorlesungRenz2013.pdf
