Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
temp-einf.pdf;3102269;"Prof. Dr. rer. nat. Udo Lipeck";"2015-10-20 18:35:44";"Kapitel 1/2: Einführung/Zeitmodelle: 14./21.10.2015";;/temp-einf.pdf
temp-modelle.pdf;165762;"Prof. Dr. rer. nat. Udo Lipeck";"2015-10-20 18:37:27";"Kapitel 3: Temporale Datenmodelle: 21.10.2015";;/temp-modelle.pdf
temp-sprache.pdf;75682;"Prof. Dr. rer. nat. Udo Lipeck";"2015-10-28 15:04:25";"Kapitel 4: Eine temporale relationale Datenbanksprache: 28.10.2015";"Update 28.10.: Beispieldaten ""2001"" korrigiert";/temp-sprache.pdf
temp-relalg.pdf;240775;"Prof. Dr. rer. nat. Udo Lipeck";"2015-11-03 17:49:45";"Kapitel 5: Eine temporal erweiterte Relationenalgebra: 04./11.11.2015";;/temp-relalg.pdf
temp-baeume.pdf;748563;"Prof. Dr. rer. nat. Udo Lipeck";"2016-03-10 14:43:22";"Kapitel 6: Suchbaumstrukturen für Intervalle: 11./18.11.2015";;/temp-baeume.pdf
