Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
Einführung-v05.pdf;2399468;"Jil Ann-Christin Klünder";"2015-11-20 09:35:29";"01 Einführung-v05";"Foliensatz zur ersten Veranstaltung";/Einführung-v05.pdf
"Agile Methoden 1-v07.pdf";3375337;"M. Sc. Stephan Kiesling";"2015-11-20 09:35:05";"02 Agile Methoden 1-v07";;/Agile_Methoden_1-v07.pdf
"Agile Methoden 2-v06.pdf";2834659;"Jil Ann-Christin Klünder";"2015-11-26 10:20:12";"03 Agile Methoden 2-v06";;/Agile_Methoden_2-v06.pdf
"Shortcuts in Eclipse-v02.pdf";88171;"Jil Ann-Christin Klünder";"2015-12-18 13:08:57";"Shortcuts in Eclipse-v02";;/Shortcuts_in_Eclipse-v02.pdf
